"","alias","abbr","vote","noOfLgas","lgaCollated","registeredVote","totalVote","slug","updatedAt"
"81","bauchi","NRM",1062,20,20,2749268,853516,"e30fd085-46a9-4443-8a76-41f71a197320","2023-02-28T17:45:31.956178"
"82","bauchi","PDP",426607,20,20,2749268,853516,"e30fd085-46a9-4443-8a76-41f71a197320","2023-02-28T17:45:31.956178"
"83","bauchi","PRP",1824,20,20,2749268,853516,"e30fd085-46a9-4443-8a76-41f71a197320","2023-02-28T17:45:31.956178"
"84","bauchi","ZLP",896,20,20,2749268,853516,"e30fd085-46a9-4443-8a76-41f71a197320","2023-02-28T17:45:31.956178"
"85","bauchi","YPP",645,20,20,2749268,853516,"e30fd085-46a9-4443-8a76-41f71a197320","2023-02-28T17:45:31.956178"
"86","bauchi","SDP",924,20,20,2749268,853516,"e30fd085-46a9-4443-8a76-41f71a197320","2023-02-28T17:45:31.956178"
"87","bauchi","A",237,20,20,2749268,853516,"e30fd085-46a9-4443-8a76-41f71a197320","2023-02-28T17:45:31.956178"
"88","bauchi","AAC",180,20,20,2749268,853516,"e30fd085-46a9-4443-8a76-41f71a197320","2023-02-28T17:45:31.956178"
"89","bauchi","ADC",1291,20,20,2749268,853516,"e30fd085-46a9-4443-8a76-41f71a197320","2023-02-28T17:45:31.956178"
"90","bauchi","ADP",1447,20,20,2749268,853516,"e30fd085-46a9-4443-8a76-41f71a197320","2023-02-28T17:45:31.956178"
"91","bayelsa","APP",96,8,8,1056862,165325,"afbc5bc8-7d55-4c1d-8683-e8c1e49ea967","2023-02-28T18:01:04.457955"
"92","bayelsa","BP",116,8,8,1056862,165325,"afbc5bc8-7d55-4c1d-8683-e8c1e49ea967","2023-02-28T18:01:04.457955"
"93","bayelsa","LP",49975,8,8,1056862,165325,"afbc5bc8-7d55-4c1d-8683-e8c1e49ea967","2023-02-28T18:01:04.457955"
"94","bayelsa","NNPP",540,8,8,1056862,165325,"afbc5bc8-7d55-4c1d-8683-e8c1e49ea967","2023-02-28T18:01:04.457955"
"95","bayelsa","NRM",125,8,8,1056862,165325,"afbc5bc8-7d55-4c1d-8683-e8c1e49ea967","2023-02-28T18:01:04.457955"
"96","bayelsa","PDP",68818,8,8,1056862,165325,"afbc5bc8-7d55-4c1d-8683-e8c1e49ea967","2023-02-28T18:01:04.457955"
"97","bayelsa","PRP",65,8,8,1056862,165325,"afbc5bc8-7d55-4c1d-8683-e8c1e49ea967","2023-02-28T18:01:04.457955"
"98","bayelsa","SDP",689,8,8,1056862,165325,"afbc5bc8-7d55-4c1d-8683-e8c1e49ea967","2023-02-28T18:01:04.457955"
"99","bayelsa","YPP",166,8,8,1056862,165325,"afbc5bc8-7d55-4c1d-8683-e8c1e49ea967","2023-02-28T18:01:04.457955"
"100","bayelsa","ZLP",728,8,8,1056862,165325,"afbc5bc8-7d55-4c1d-8683-e8c1e49ea967","2023-02-28T18:01:04.457955"
"101","bayelsa","A",156,8,8,1056862,165325,"afbc5bc8-7d55-4c1d-8683-e8c1e49ea967","2023-02-28T18:01:04.457955"
"102","bayelsa","AA",22,8,8,1056862,165325,"afbc5bc8-7d55-4c1d-8683-e8c1e49ea967","2023-02-28T18:01:04.457955"
"103","bayelsa","AAC",56,8,8,1056862,165325,"afbc5bc8-7d55-4c1d-8683-e8c1e49ea967","2023-02-28T18:01:04.457955"
"104","bayelsa","ADP",152,8,8,1056862,165325,"afbc5bc8-7d55-4c1d-8683-e8c1e49ea967","2023-02-28T18:01:04.457955"
"105","bayelsa","APC",42572,8,8,1056862,165325,"afbc5bc8-7d55-4c1d-8683-e8c1e49ea967","2023-02-28T18:01:04.457955"
"106","bayelsa","APGA",330,8,8,1056862,165325,"afbc5bc8-7d55-4c1d-8683-e8c1e49ea967","2023-02-28T18:01:04.457955"
"107","bayelsa","APM",130,8,8,1056862,165325,"afbc5bc8-7d55-4c1d-8683-e8c1e49ea967","2023-02-28T18:01:04.457955"
"108","bayelsa","ADC",589,8,8,1056862,165325,"afbc5bc8-7d55-4c1d-8683-e8c1e49ea967","2023-02-28T18:01:04.457955"
"109","benue","ADC",2648,23,23,2777727,770075,"3ba042fe-fd2a-4bb6-ba23-c7a3a1a47294","2023-02-28T16:55:05.718318"
"110","benue","A",698,23,23,2777727,770075,"3ba042fe-fd2a-4bb6-ba23-c7a3a1a47294","2023-02-28T16:55:05.718318"
"111","benue","NRM",484,23,23,2777727,770075,"3ba042fe-fd2a-4bb6-ba23-c7a3a1a47294","2023-02-28T16:55:05.718318"
"112","benue","PDP",130081,23,23,2777727,770075,"3ba042fe-fd2a-4bb6-ba23-c7a3a1a47294","2023-02-28T16:55:05.718318"
"113","benue","ZLP",3523,23,23,2777727,770075,"3ba042fe-fd2a-4bb6-ba23-c7a3a1a47294","2023-02-28T16:55:05.718318"
"114","benue","YPP",239,23,23,2777727,770075,"3ba042fe-fd2a-4bb6-ba23-c7a3a1a47294","2023-02-28T16:55:05.718318"
"115","benue","PRP",477,23,23,2777727,770075,"3ba042fe-fd2a-4bb6-ba23-c7a3a1a47294","2023-02-28T16:55:05.718318"
"116","benue","SDP",895,23,23,2777727,770075,"3ba042fe-fd2a-4bb6-ba23-c7a3a1a47294","2023-02-28T16:55:05.718318"
"117","benue","AAC",628,23,23,2777727,770075,"3ba042fe-fd2a-4bb6-ba23-c7a3a1a47294","2023-02-28T16:55:05.718318"
"118","benue","ADP",1447,23,23,2777727,770075,"3ba042fe-fd2a-4bb6-ba23-c7a3a1a47294","2023-02-28T16:55:05.718318"
"119","benue","APC",310468,23,23,2777727,770075,"3ba042fe-fd2a-4bb6-ba23-c7a3a1a47294","2023-02-28T16:55:05.718318"
"120","benue","APGA",3605,23,23,2777727,770075,"3ba042fe-fd2a-4bb6-ba23-c7a3a1a47294","2023-02-28T16:55:05.718318"
"121","benue","BP",714,23,23,2777727,770075,"3ba042fe-fd2a-4bb6-ba23-c7a3a1a47294","2023-02-28T16:55:05.718318"
"122","benue","LP",308372,23,23,2777727,770075,"3ba042fe-fd2a-4bb6-ba23-c7a3a1a47294","2023-02-28T16:55:05.718318"
"123","benue","NNPP",4740,23,23,2777727,770075,"3ba042fe-fd2a-4bb6-ba23-c7a3a1a47294","2023-02-28T16:55:05.718318"
"124","benue","AA",337,23,23,2777727,770075,"3ba042fe-fd2a-4bb6-ba23-c7a3a1a47294","2023-02-28T16:55:05.718318"
"125","benue","APM",501,23,23,2777727,770075,"3ba042fe-fd2a-4bb6-ba23-c7a3a1a47294","2023-02-28T16:55:05.718318"
"126","benue","APP",218,23,23,2777727,770075,"3ba042fe-fd2a-4bb6-ba23-c7a3a1a47294","2023-02-28T16:55:05.718318"
"127","borno","NNPP",4626,27,27,2513281,465287,"8ae5e60a-b2b0-43a2-802f-c5f457435854","2023-03-01T00:38:30.028101"
"128","borno","NRM",770,27,27,2513281,465287,"8ae5e60a-b2b0-43a2-802f-c5f457435854","2023-03-01T00:38:30.028101"
"129","borno","PDP",190921,27,27,2513281,465287,"8ae5e60a-b2b0-43a2-802f-c5f457435854","2023-03-01T00:38:30.028101"
"130","borno","ZLP",567,27,27,2513281,465287,"8ae5e60a-b2b0-43a2-802f-c5f457435854","2023-03-01T00:38:30.028101"
"131","borno","PRP",620,27,27,2513281,465287,"8ae5e60a-b2b0-43a2-802f-c5f457435854","2023-03-01T00:38:30.028101"
"132","borno","SDP",406,27,27,2513281,465287,"8ae5e60a-b2b0-43a2-802f-c5f457435854","2023-03-01T00:38:30.028101"
"133","borno","YPP",416,27,27,2513281,465287,"8ae5e60a-b2b0-43a2-802f-c5f457435854","2023-03-01T00:38:30.028101"
"134","borno","AAC",349,27,27,2513281,465287,"8ae5e60a-b2b0-43a2-802f-c5f457435854","2023-03-01T00:38:30.028101"
"135","borno","ADC",1654,27,27,2513281,465287,"8ae5e60a-b2b0-43a2-802f-c5f457435854","2023-03-01T00:38:30.028101"
"136","borno","APC",252282,27,27,2513281,465287,"8ae5e60a-b2b0-43a2-802f-c5f457435854","2023-03-01T00:38:30.028101"
"137","borno","APGA",1211,27,27,2513281,465287,"8ae5e60a-b2b0-43a2-802f-c5f457435854","2023-03-01T00:38:30.028101"
"138","borno","APM",584,27,27,2513281,465287,"8ae5e60a-b2b0-43a2-802f-c5f457435854","2023-03-01T00:38:30.028101"
"139","borno","APP",538,27,27,2513281,465287,"8ae5e60a-b2b0-43a2-802f-c5f457435854","2023-03-01T00:38:30.028101"
"140","borno","ADP",1475,27,27,2513281,465287,"8ae5e60a-b2b0-43a2-802f-c5f457435854","2023-03-01T00:38:30.028101"
"141","borno","BP",207,27,27,2513281,465287,"8ae5e60a-b2b0-43a2-802f-c5f457435854","2023-03-01T00:38:30.028101"
"142","borno","LP",7205,27,27,2513281,465287,"8ae5e60a-b2b0-43a2-802f-c5f457435854","2023-03-01T00:38:30.028101"
"143","borno","A",541,27,27,2513281,465287,"8ae5e60a-b2b0-43a2-802f-c5f457435854","2023-03-01T00:38:30.028101"
"144","borno","AA",915,27,27,2513281,465287,"8ae5e60a-b2b0-43a2-802f-c5f457435854","2023-03-01T00:38:30.028101"
"145","cross_river","AA",221,18,18,1766466,416968,"507468a9-63f1-4950-9ce4-5ebb5d1c09c6","2023-02-28T21:46:38.073875"
"146","cross_river","A",425,18,18,1766466,416968,"507468a9-63f1-4950-9ce4-5ebb5d1c09c6","2023-02-28T21:46:38.073875"
"147","cross_river","ZLP",1533,18,18,1766466,416968,"507468a9-63f1-4950-9ce4-5ebb5d1c09c6","2023-02-28T21:46:38.073875"
"148","cross_river","AAC",406,18,18,1766466,416968,"507468a9-63f1-4950-9ce4-5ebb5d1c09c6","2023-02-28T21:46:38.073875"
"149","cross_river","ADC",2268,18,18,1766466,416968,"507468a9-63f1-4950-9ce4-5ebb5d1c09c6","2023-02-28T21:46:38.073875"
"150","cross_river","ADP",885,18,18,1766466,416968,"507468a9-63f1-4950-9ce4-5ebb5d1c09c6","2023-02-28T21:46:38.073875"
"151","cross_river","APC",130520,18,18,1766466,416968,"507468a9-63f1-4950-9ce4-5ebb5d1c09c6","2023-02-28T21:46:38.073875"
"152","cross_river","SDP",290,18,18,1766466,416968,"507468a9-63f1-4950-9ce4-5ebb5d1c09c6","2023-02-28T21:46:38.073875"
"153","cross_river","YPP",422,18,18,1766466,416968,"507468a9-63f1-4950-9ce4-5ebb5d1c09c6","2023-02-28T21:46:38.073875"
